Name, Condition, Manufacture Year, Price
"DECKEL FP3 L Aktiv","excellent (used)","1979","10000",
"INFOTEC 3121 E","ready for operation (used)","2017","0",
"SMTCL GMB 200x400","excellent (used)","2005","0",
"Numco SHG 1224","good (used)","2018","0",
"SORALUCE SP 6000","ready for operation (used)","2007","0",
"Mazak VTC-20B","refurbished (used)","1996","13900",
"Unitech FSS400","good (used)","2012","0",
"FPT Industrie AREA M","ready for operation (used)","2008","0",
"Deckel Maho DMG DMC 50V","good (used)","1998","0",
"BUSCH NF1","good (used)","1998","0",
"STANKO 6 T 83 G-1 (X=1500 mm)","good (used)","1988","0",
"LENZ RLG 470 60.000 RPM INV 26285","good (used)","0","0",
"Aschersleben CFZ30-15-10 SIN 850","good (used)","1991","0",
"WALDRICH COBURG 17S 10FP 300 NC","ready for operation (used)","1989","0",
"DFO CWCa-80","ready for operation (used)","0","4900",
"TOS FSQ 80 CNC","good (used)","1990","0",
"Busch S0","excellent (used)","1979","0",
"AZ HWT-E443CNC INV 26551","good (used)","0","0",
"Soraluce FP-4000","used","2013","0",
"MicroStep MICROMILL 2501.15F","ready for operation (used)","2012","0",
"AVIA FNC 25","good (used)","0","0",
"RUIDA X6436","good (used)","2016","0",
"MECOF UNICA CR 15","used","1998","0",
"STANKOIMPORT 6P10","used","0","0",
"DMG Mori DMF260-11 KGT","used","2018","0",
"Jarocin, Poland FWC 25","good (used)","0","3000",
"TOS FGS 25","ready for operation (used)","1994","0",
"TOS FSQ-C 80","good (used)","0","0",
"DECKEL MAHO MH-800C","used","1986","0",
"WMW FSS 400 E","used","0","0",
"Ho Chun U-1000B","excellent (used)","2001","4900",
"Deckel Maho DMU 35M","excellent (used)","2001","0",
"ANAYAK PERFORMER 2000","ready for operation (used)","2007","0",
"LENZ RLG 470-2","good (used)","2006","0",
"JOTES 2FX","good (used)","1986","2200",
"WMW FU 400 V-2","used","0","0",
"EMCO FB-5","good (used)","1998","12400",
"SACHMAN T 314 HS","used","2008","0",
"Tekna TK661","ready for operation (used)","2013","0",
"Bohner & Koehle MF2-K2926/1","used","1971","0",
"Centrikator","good (used)","0","0",
"SHW UF 21","used","1977","0",
"FEHLMANN Picomax 100 CNC 2","used","1990","0",
"Mecal MC 304 Atlas 3","used","2013","0",
"JOBS Jomach 16","ready for operation (used)","1992","0",
"WMW ""FRITZ HECKERT"" FU 315/2 PS","used","1977","0",
"MIKRON WF 51C- WW","used","1986","0",
"Hedelius BC 40 D","used","1996","0",
"WMW - RUHLA VRB 2242","used","1981","0",
"BOKOE WF2/10","used","1989","0",
